"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"obis",-82.95252,24.57776,18.5,"Stegastes variabilis"
"obis",-80.62294,24.84943,3,"Stegastes variabilis"
"obis",-83.076133,24.680867,20,"Stegastes variabilis"
"obis",-82.93085,24.6430333,8.8,"Stegastes variabilis"
"obis",-82.9961,24.6971,22.3,"Stegastes variabilis"
"obis",-82.98234,24.60544,16.8,"Stegastes variabilis"
"obis",-82.92976,24.64182,7.9,"Stegastes variabilis"
"obis",-82.8849667,24.7056333,14.6,"Stegastes variabilis"
"obis",-83.10295,24.63482,25.6,"Stegastes variabilis"
"obis",-83.1015,24.6384,22.1,"Stegastes variabilis"
"obis",-83.0747833,24.6540333,16.9,"Stegastes variabilis"
"obis",-82.93743,24.6557,16.8,"Stegastes variabilis"
"obis",-83.0668167,24.6640833,17.8,"Stegastes variabilis"
"obis",-80.287,25.2166667,1.5,"Stegastes variabilis"
"obis",-83.05272,24.61837,13.4,"Stegastes variabilis"
"obis",-80.2633,25.1480333,11.9,"Stegastes variabilis"
"obis",-82.9117,24.699983,14.5,"Stegastes variabilis"
"obis",-82.94774,24.60669,15.1,"Stegastes variabilis"
"obis",-80.342717,25.039583,13.1,"Stegastes variabilis"
"obis",-83.03193,24.68158,18.3,"Stegastes variabilis"
"obis",-82.8633167,24.7091833,10.4,"Stegastes variabilis"
"obis",-81.8732166,24.4533,6.1,"Stegastes variabilis"
"obis",-80.384217,25.068333,1.7,"Stegastes variabilis"
"obis",-80.15301,25.4124,4.9,"Stegastes variabilis"
"obis",-82.98135,24.6916,28.5,"Stegastes variabilis"
"obis",-82.9781,24.7210833,25.1,"Stegastes variabilis"
"obis",-80.6256667,24.8410167,19.4,"Stegastes variabilis"
"obis",-80.294833,25.1389,4.1,"Stegastes variabilis"
"obis",-82.8284167,24.7229167,20,"Stegastes variabilis"
"obis",-80.2845832,25.211,2.6,"Stegastes variabilis"
"obis",-82.8694667,24.7150167,13.4,"Stegastes variabilis"
"obis",-82.78525,24.711633,6.6,"Stegastes variabilis"
"obis",-82.88297,24.5919,10.7,"Stegastes variabilis"
"obis",-82.857433,24.698267,9.3,"Stegastes variabilis"
"obis",-80.6290499,24.8409167,9.9,"Stegastes variabilis"
"obis",-80.1548833,25.4764167,3.8,"Stegastes variabilis"
"obis",-82.79098,24.72431,14.9,"Stegastes variabilis"
"obis",-82.9261,24.5742167,14,"Stegastes variabilis"
"obis",-82.95596,24.58778,14.8,"Stegastes variabilis"
"obis",-80.2296499,25.20595,6.4,"Stegastes variabilis"
"obis",-83.03295,24.6541,18,"Stegastes variabilis"
"obis",-80.3795,25.0725,2.4,"Stegastes variabilis"
"obis",-82.92028,24.66665,11.9,"Stegastes variabilis"
"obis",-82.94293,24.63143,9.5,"Stegastes variabilis"
"obis",-82.9598167,24.5947,16.8,"Stegastes variabilis"
"obis",-82.7890833,24.6959667,4.7,"Stegastes variabilis"
"obis",-81.5154666,24.5205833,13.6,"Stegastes variabilis"
"obis",-83.0300833,24.7082833,27.1,"Stegastes variabilis"
"obis",-83.03097,24.63283,16.5,"Stegastes variabilis"
"obis",-80.55805,24.881833,19.1,"Stegastes variabilis"
"obis",-82.98883,24.71087,15.9,"Stegastes variabilis"
"obis",-80.26315,25.13654,9,"Stegastes variabilis"
"obis",-83.057583,24.634417,13.8,"Stegastes variabilis"
"obis",-82.79432,24.71257,11.8,"Stegastes variabilis"
"obis",-82.788883,24.7205,15.1,"Stegastes variabilis"
"obis",-81.7677999,24.46855,18.3,"Stegastes variabilis"
"obis",-82.8570167,24.6978,5.2,"Stegastes variabilis"
"obis",-81.4019333,24.5466167,7,"Stegastes variabilis"
"obis",-82.798483,24.644083,7.6,"Stegastes variabilis"
"obis",-81.38117,24.61933,2.4,"Stegastes variabilis"
"obis",-80.4607666,24.9954834,4.3,"Stegastes variabilis"
"obis",-80.1514832,25.4270334,3.7,"Stegastes variabilis"
"obis",-83.09935,24.6203,24.5,"Stegastes variabilis"
"obis",-81.3853999,24.5678834,6.7,"Stegastes variabilis"
"obis",-82.8157167,24.7187167,10.4,"Stegastes variabilis"
"obis",-80.9599333,24.6883333,5,"Stegastes variabilis"
"obis",-82.994,24.58935,22.6,"Stegastes variabilis"
"obis",-82.88438,24.6883,7.3,"Stegastes variabilis"
"obis",-83.03417,24.65503,22,"Stegastes variabilis"
"obis",-81.3943167,24.5652333,8.2,"Stegastes variabilis"
